Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1000.0,1000.0,1000.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,855.0,733.2779666803035,728.8062200956937,745.0,720.0,700.0,700.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0
1000.0,866.1111111111111,1000.0,116.72203331969646,121.19377990430638,105.0,129.99999999999997,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,0.0,8.204470110147554,79.76098653367015,94.71531100478472,42.177777777777635,97.09335899903647,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1000.0,920.0,822.9066410009635,822.9066410009634,825.2846889952152,822.9066410009635,822.9066410009635,44.00673400673401,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,820.0,820.0,820.0,825.8264221158959,820.0,820.0,734.0067340067338,740.0,250.0,247.5,247.5,211.94444444444457,210.0,233.8888888888889,232.98400243955234,250.0,250.0,250.0,250.0
315.3703703703704,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,204.99999999999994,207.5,207.5,243.05555555555546,245.0,221.11111111111106,222.01599756044766,200.0,200.0,200.0,205.00000000000014
1000.0,1000.0,909.0909090909083,909.0909090909091,909.0909090909091,914.4444444444445,750.0,909.0909090909091,95.55555555555544,245.0,293.61111111111114,293.61111111111114,300.0,300.0,300.00000000000006,300.0,291.1111111111111,246.1111111111112,243.1481481481482,283.0000000000001
1000.0,1000.0,280.9090909090917,280.9090909090909,280.9090909090909,275.5555555555555,345.0,280.9090909090909,350.0,329.99999999999994,281.3888888888888,281.3888888888888,233.05555555555554,222.5,254.99999999999994,254.09511355066334,283.88888888888886,284.9999999999999,299.9999999999999,275.11111111111074
1000.0,1000.0,420.9090909090916,280.9090909090909,200.0,415.5555555555555,400.0,381.05218855218857,400.0,350.0000000000001,286.4474636325072,338.61111111111114,350.0,328.611111111111,306.11111111111103,280.9526380236533,258.88888888888897,249.99999999999994,250.0,325.50000000000006
1000.0,1000.0,1000.0,178.51010101010093,270.0,5.5555555555556,105.0,40.05892255892246,150.5555555555555,230.55555555555543,262.3318237393019,270.0,270.0,270.0,270.0,270.0,331.111111111111,335.0,322.962962962963,270.0
1000.0,1000.0,461.3901510347122,350.0000000000001,200.0,404.44444444444446,400.0,400.0,400.0,350.0,350.0,282.4999999999999,271.1111111111111,292.50000000000006,315.0,326.1111111111111,250.0,234.99999999999994,267.037037037037,199.99999999999994
1000.0,1000.0,300.0,300.0,300.0,300.0,278.4077906106295,361.02278441839775,299.13736412517886,285.0,179.99999999999997,187.6681762606981,246.9444444444444,257.50000000000006,225.0000000000001,239.95224842568325,250.0,289.99999999999994,245.92592592592592,300.0000000000001
1000.0,350.0,183.20447011014755,200.0000000000001,200.0000000000001,198.20447011014767,224.79667949951806,182.1111111111111,256.41819143037674,305.0,350.0,350.0,250.0,232.50000000000006,220.0,246.0633595367944,200.0000000000001,200.0000000000001,194.07407407407413,200.0000000000001
1000.0,250.0,223.20447011014755,250.0,250.0,238.20447011014767,250.0,237.1111111111111,250.0,250.0,250.0,250.0,205.0,222.49999999999994,235.0,204.99999999999994,250.0,249.99999999999994,250.0,249.99999999999994
1000.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1000.0,1000.0,1000.0,905.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
191.84210526315724,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
1000.0,1000.0,1000.0,1000.0,1000.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
