Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1000.0,1000.0,1000.0,1000.0,1000.0,240.0,240.0,240.0,240.0,240.0,240.0,240.00000000000023
275.0000000000007,297.8253968253955,339.6825396825395,340.00000000000034,330.00000000000045,210.0,210.0,210.0,265.0,265.0,265.0,265.0000000000002
1000.0,1000.0,925.0000000000002,795.5546064567988,771.4041910331399,738.6111111111111,753.6111111111111,735.0,270.0,270.0,270.0,270.0
1000.0,1000.0,40.0,165.0,211.1111111111096,207.49999999999994,192.5,205.49078453976557,238.30149902451473,235.0,235.0,246.3612648906303
1000.0,1000.0,1000.0,159.4453935432013,160.55555555555543,197.50000000000006,212.5,230.0,201.69850097548527,207.18728070175445,205.0,193.6387351093698
1000.0,1000.0,1000.0,1000.0,1000.0,275.0,275.0,230.52505841096126,235.0,229.5846165384761,284.6918134611956,288.2686568692975
305.0000000000011,325.0000000000015,340.0000000000007,290.00000000000006,289.99999999999966,170.0,170.0,270.06099428918867,260.0,263.71891276014867,231.72748418872007,235.93506226314665
1000.0,1000.0,1000.0,1000.0,1000.0,955.0,955.0,385.0,449.83230870220456,365.70872947277405,365.70872947277405,378.5072919836034
1000.0,1000.0,1000.0,1000.0,1000.0,445.0,445.0,324.46648426812527,277.65142047381914,355.0,355.0,334.74290448012476
1000.0,1000.0,1000.0,357.56484037492754,345.555555555556,157.9530701754387,157.9530701754387,240.0,276.1922417319283,240.0,240.0,270.2570955198751
1000.0,1000.0,329.99999999999943,210.00000000000108,209.4444444444431,280.0,280.0,264.90706100092973,260.0,275.0,275.0,350.5974159016746
1000.0,620.0000000000002,255.00000000000068,370.0,370.0000000000007,370.0,370.0,370.0,355.0,370.0,370.0,329.99987408118864
1000.0,608.0555555555563,340.0000000000007,390.0,390.0,375.0,375.0,388.056204569486,390.0,375.0,375.0,375.0002518376233
1000.0,1000.0,250.0000000000006,214.1008771929824,224.99999999999994,154.99999999999994,154.99999999999997,229.90706100092973,225.0,189.99999999999991,214.82736455463808,239.9995881155608
1000.0,1000.0,1000.0,430.0000000000006,430.00000000000045,461.1111111111111,461.1111111111111,442.5145677121674,449.19402985074635,475.0,450.17263544536183,310.0000419729371
1000.0,1000.0,1000.0,444.99999999999994,444.9999999999999,430.0,430.0,445.0,443.8077582680717,445.0,445.0,378.05545645572636
1000.0,1000.0,1000.0,379.99999999999994,380.0,283.4999999999999,283.4999999999999,380.0,380.0,365.5589181286548,380.0,360.0001562267214
1000.0,1000.0,250.00000000000034,109.99999999999996,109.99999999999996,206.50000000000003,206.50000000000003,110.0,109.99999999999996,135.55219298245618,119.45370370370364,129.9998437732786
1000.0,1000.0,95.0,50.0,39.10087719298224,245.0,250.0,165.0,165.0,190.55219298245618,174.45370370370367,145.00030268626787
1000.0,1000.0,971.1111111111112,1000.0,1000.0,160.0,155.0,240.0,316.1922417319282,161.5878775547119,260.0000000000001,259.9998406914381
298.69841269841237,290.0000000000009,319.9999999999999,320.00000000000045,320.00000000000057,265.0,175.4399999999996,210.0,200.35999999999967,180.55219298245618,280.0,280.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,365.0,330.0,300.0,424.4478070175438,260.00000000000006,260.0000000000005
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,560.0,530.0,515.0,553.4121224452881,380.0,380.0
