c[1],c[2],c[3],c[4],c[5],c[6],p[1],p[2],p[3],p[4],p[5],p[6],h[1],g_plus[1],g_minus[1],dr[1],μ[1],μ[2],μ[3]
5879.08,2273.0,1845.3500000000001,5575.186250000001,4166.46,1931.5,350.0,200.0,135.0,320.0,350.0,150.0,0.0,0.0,0.0,245.0,45.0,100.0,100.0
5209.04875,2273.0,2052.5,4884.516250000001,4166.46,1931.5,315.0,200.0,150.0,285.0,350.0,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
4547.36125,2273.0,1845.3500000000001,4227.605625,4166.46,1736.65,280.0,200.0,135.0,250.0,350.0,135.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
3916.2675,2273.0,2052.5,3581.0825000000004,4166.46,1931.5,245.0,200.0,150.0,215.0,350.0,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
4547.36125,2034.1999999999998,1914.4,4227.605625,4166.46,1931.5,280.0,180.0,140.0,250.0,350.0,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
5209.04875,2273.0,2052.5,4884.516250000001,4166.46,1931.5,315.0,200.0,150.0,285.0,350.0,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
5879.08,2273.0,2052.5,4227.605625,4166.46,1931.5,350.0,200.0,150.0,250.0,350.0,150.0,0.0,0.0,0.0,300.0,100.0,100.0,100.0
5209.04875,2034.1999999999998,2052.5,3581.0825000000004,4166.46,1931.5,315.0,180.0,150.0,215.0,350.0,150.0,0.0,0.0,0.0,190.0,90.0,100.0,0.0
4547.36125,2273.0,1845.3500000000001,2960.5281250000003,3722.9224999999997,1931.5,280.0,200.0,135.0,180.0,315.0,150.0,0.0,0.0,0.0,130.0,100.0,30.0,0.0
3916.2675,2034.1999999999998,1639.0,2358.1518750000005,3282.1974999999998,1736.65,245.0,180.0,120.0,145.0,280.0,135.0,0.0,0.0,0.0,150.0,100.0,50.0,0.0
3301.86125,1798.7,2.890113259468199e6,1773.95375,3722.9224999999997,1931.5,210.0,160.0,0.0,110.0,315.0,150.0,0.0,0.0,0.0,155.0,100.0,55.0,0.0
2709.705,1974.5,2052.5,0.0,4166.46,1931.5,175.0,175.0,150.0,0.0,350.0,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
2142.58,2034.1999999999998,1845.3500000000001,1607.04,3722.9224999999997,0.0,140.0,180.0,135.0,100.0,315.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,75.0
2709.705,2273.0,1639.0,0.0,3282.1974999999998,1093.75,175.0,200.0,120.0,0.0,280.0,85.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
2709.705,2034.1999999999998,1434.25,1607.04,2851.785,0.0,175.0,180.0,105.0,100.0,245.0,0.0,0.0,0.0,0.0,140.0,40.0,0.0,100.0
3301.86125,1798.7,1639.0,2191.2381250000003,3282.1974999999998,839.95,210.0,160.0,120.0,135.0,280.0,65.0,0.0,0.0,0.0,86.02878031797604,86.02878031797604,0.0,0.0
3916.2675,2034.1999999999998,1845.3500000000001,2783.2268750000003,3722.9224999999997,1030.0,245.0,180.0,135.0,170.0,315.0,80.0,0.0,0.0,0.0,180.0,100.0,80.0,0.0
4547.36125,2273.0,1639.0,3403.7812500000005,4166.46,1221.25,280.0,200.0,120.0,205.0,350.0,95.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
5209.04875,2034.1999999999998,1845.3500000000001,4039.916875000001,4166.46,1413.6999999999998,315.0,180.0,135.0,240.0,350.0,110.0,0.0,0.0,0.0,220.0,20.0,100.0,100.0
5879.08,2273.0,2052.5,4696.8275,4166.46,1606.75,350.0,200.0,150.0,275.0,350.0,125.0,0.0,0.0,0.0,300.0,100.0,100.0,100.0
5879.08,2273.0,1845.3500000000001,5377.110000000001,4166.46,1413.6999999999998,350.0,200.0,135.0,310.0,350.0,110.0,0.0,0.0,0.0,195.0,95.0,100.0,0.0
5879.08,2273.0,1639.0,5872.300625000001,4166.46,1221.25,350.0,200.0,120.0,335.0,350.0,95.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
5879.08,2034.1999999999998,1434.25,5575.186250000001,3722.9224999999997,1030.0,350.0,180.0,105.0,320.0,315.0,80.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
5879.08,1798.7,1231.1,5872.300625000001,4166.46,839.95,350.0,160.0,90.0,335.0,350.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
